file,test_name,should_panic,unroll_bound,status,successful,panic_found,crashed,timeout,executions_explored,matches_expected,max_memory_mb,cpu_user_seconds,cpu_system_seconds,cpu_total_seconds
arc_ported_genmc.rs,PIPELINE,,1,PIPELINE,False,False,False,False,0,,178.61,1.550,0.160,1.710
arc_ported_genmc.rs,basic_usage,No,1,SUCCESS,True,False,False,False,4,True,154.27,0.840,0.050,0.890
arc_ported_genmc.rs,sync_in_drop,No,1,SUCCESS,True,False,False,False,3,True,152.05,0.720,0.060,0.780
arc_ported_genmc.rs,try_unwrap_succeeds,No,1,SUCCESS,True,False,False,False,1,True,144.55,0.300,0.040,0.340
arc_ported_genmc.rs,try_unwrap_fails,No,1,SUCCESS,True,False,False,False,1,True,144.84,0.290,0.050,0.340
arc_ported_genmc.rs,try_unwrap_multithreaded,No,1,CRASH,False,False,True,False,0,,147.00,0.390,0.050,0.440
atomic_int_ported_fixed.rs,PIPELINE,,1,PIPELINE,False,False,False,False,0,,168.46,1.370,0.150,1.520
atomic_int_ported_fixed.rs,xor,No,1,SUCCESS,True,False,False,False,1,True,134.96,0.270,0.040,0.310
atomic_int_ported_fixed.rs,max,No,1,SUCCESS,True,False,False,False,1,True,135.31,0.260,0.040,0.300
atomic_int_ported_fixed.rs,min,No,1,SUCCESS,True,False,False,False,1,True,135.38,0.270,0.050,0.320
atomic_int_ported_fixed.rs,compare_exchange,No,1,SUCCESS,True,False,False,False,1,True,135.62,0.290,0.050,0.340
atomic_int_ported_fixed.rs,compare_exchange_weak,No,1,SUCCESS,True,False,False,False,1,True,135.52,0.270,0.040,0.310
atomic_int_ported_fixed.rs,fetch_update,No,1,SUCCESS,True,False,False,False,1,True,135.78,0.270,0.040,0.310
atomic_relaxed_ported_genmc.rs,PIPELINE,,1,PIPELINE,False,False,False,False,0,,180.69,1.610,0.150,1.760
atomic_relaxed_ported_genmc.rs,compare_and_swap,No,1,SUCCESS,True,False,False,False,1,True,149.60,0.500,0.060,0.560
atomic_relaxed_ported_genmc.rs,check_ordering_valid,No,1,SUCCESS,True,False,False,False,5,True,156.39,1.050,0.050,1.100
atomic_relaxed_ported_genmc.rs,check_ordering_invalid_1,Yes,1,PANIC_FOUND,False,True,False,False,10,True,162.05,2.330,0.070,2.400
atomic_relaxed_ported_genmc.rs,check_ordering_invalid_2,Yes,1,PANIC_FOUND,False,True,False,False,10,True,161.96,2.350,0.070,2.420
atomic_ported_genmc.rs,PIPELINE,,1,PIPELINE,False,False,False,False,0,,177.88,1.550,0.150,1.700
atomic_ported_genmc.rs,compare_and_swap_reads_old_values,Yes,1,SUCCESS,True,False,False,False,4,False,154.03,1.670,0.060,1.730
atomic_ported_genmc.rs,fetch_add_atomic,No,1,SUCCESS,True,False,False,False,2,True,150.35,0.750,0.050,0.800
condvar_ported_simplified.rs,PIPELINE,,1,PIPELINE,False,False,False,False,0,,178.50,1.530,0.160,1.690
condvar_ported_simplified.rs,notify_one,No,1,CRASH,False,False,True,False,0,,147.02,0.380,0.050,0.430
condvar_ported_simplified.rs,notify_all,No,1,CRASH,False,False,True,False,0,,151.31,1.080,0.060,1.140
fence_ported.rs,PIPELINE,,1,PIPELINE,False,False,False,False,0,,186.56,1.970,0.150,2.120
fence_ported.rs,fence_sw_base,No,1,SUCCESS,True,False,False,False,2,True,158.38,1.030,0.060,1.090
fence_ported.rs,fence_sw_collapsed_store,No,1,SUCCESS,True,False,False,False,2,True,158.36,1.050,0.040,1.090
fence_ported.rs,fence_sw_collapsed_load,No,1,SUCCESS,True,False,False,False,2,True,158.29,1.020,0.050,1.070
